moyenne_delta_ponderee_min,moyenne_delta_ponderee_max,note_sur_20
0.0,0.07,20.0
0.07,0.15,19.75
0.15,0.22,19.5
0.22,0.3,19.25
0.3,0.37,19.0
0.37,0.44,18.75
0.44,0.52,18.5
0.52,0.59,18.25
0.59,0.67,18.0
0.67,0.74,17.75
0.74,0.81,17.5
0.81,0.89,17.25
0.89,0.96,17.0
0.96,1.04,16.75
1.04,1.11,16.5
1.11,1.19,16.25
1.19,1.26,16.0
1.26,1.33,15.75
1.33,1.41,15.5
1.41,1.48,15.25
1.48,1.56,15.0
1.56,1.63,14.75
1.63,1.7,14.5
1.7,1.78,14.25
1.78,1.85,14.0
1.85,1.93,13.75
1.93,2.0,13.5
2.0,2.07,13.25
2.07,2.15,13.0
2.15,2.22,12.75
2.22,2.3,12.5
2.3,2.37,12.25
2.37,2.44,12.0
2.44,2.52,11.75
2.52,2.59,11.5
2.59,2.67,11.25
2.67,2.74,11.0
2.74,2.81,10.75
2.81,2.89,10.5
2.89,2.96,10.25
2.96,3.04,10.0
3.04,3.11,9.75
3.11,3.19,9.5
3.19,3.26,9.25
3.26,3.33,9.0
3.33,3.41,8.75
3.41,3.48,8.5
3.48,3.56,8.25
3.56,3.63,8.0
3.63,3.7,7.75
3.7,3.78,7.5
3.78,3.85,7.25
3.85,3.93,7.0
3.93,4.0,6.75
4.0,4.07,6.5
4.07,4.15,6.25
4.15,4.22,6.0
4.22,4.3,5.75
4.3,4.37,5.5
4.37,4.44,5.25
4.44,4.52,5.0
4.52,4.59,4.75
4.59,4.67,4.5
4.67,4.74,4.25
4.74,4.81,4.0
4.81,4.89,3.75
4.89,4.96,3.5
4.96,5.04,3.25
5.04,5.11,3.0
5.11,5.19,2.75
5.19,5.26,2.5
5.26,5.33,2.25
5.33,5.41,2.0
5.41,5.48,1.75
5.48,5.56,1.5
5.56,5.63,1.25
5.63,5.7,1.0
5.7,5.78,0.75
5.78,5.85,0.5
5.85,5.93,0.25
5.93,6.0,0.0
